gene	meanExpression	A.logFC	A.pvalue	A.FDR	B.logFC	B.pvalue	B.FDR
Gene40	3.3487247586674074	-0.15419144430980586	0.7299738224202383	0.9543388971371922	0.3609554932117195	0.39387447579131274	0.730027091447106
Gene41	5.849100960794044	0.09671593149181938	0.8370205195311035	0.9806970622662413	-0.44187344278523827	0.32180048640392134	0.6742101118875369
Gene42	8.010069605392687	-0.2716373093135852	0.502349176049592	0.8680649318292586	-0.07625555134823402	0.8420376570150786	0.9538389724676763
Gene43	8.612038101138578	1.2125276382340162	0.010156304035280277	0.1062374899087895	0.211991823589132	0.6284787160765166	0.8718723574733662
Gene44	4.101571241593735	0.3250279535631435	0.45698666458711457	0.8442162304516034	-0.5017994278034531	0.2260153000246877	0.5713228008713036
Gene45	4.001907430153777	2.133753680219279	2.4443228486756008e-5	7.567562998995668e-4	0.5737014988125422	0.20854805612121435	0.5459368418051342
Gene46	-2.852736163329083	0.046436825870839755	0.8495135712697922	0.9822648783868162	-0.09728276995151613	0.6744845862152883	0.8900561971698182
Gene47	6.103464625527905	-0.12156581777676215	0.8009378967638434	0.972768345725726	-0.3888609815688981	0.39481792087290857	0.7308074182696844
Gene48	5.908329852922277	0.34745848997073886	0.39982256553434903	0.8079882718837961	-0.6453053165676919	0.10029705608556215	0.3589470830424518
Gene49	4.869807560584466	-0.6448428751238345	0.1067430459356564	0.4812580970949341	-0.3622940596411997	0.33576206697569355	0.6852300157272693
Gene50	-2.0623424455713577	0.01629607087499703	0.9630940786879669	0.9951820304007888	-0.6659227071835822	0.0481150789067138	0.22296144071693144
Gene51	6.471280372402913	-1.2419646343190973	0.004157925946647985	0.05351256044592001	-0.6098011429234048	0.13022980770515477	0.41981209924910057
Gene52	-1.8947263776474155	-0.06775077861993627	0.8680854875396457	0.9850675427972233	-0.11882693717234749	0.7581864588902396	0.9189025074418126
Gene53	6.915038012574499	-0.35515823145706393	0.38190446606352635	0.7982952885943277	2.295219670081646	4.2833339740216073e-8	2.836645015908349e-6
